"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/06/2022","AQS","370130151","1","2.6","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/07/2022","AQS","370130151","1","4.3","ppb","6","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/08/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/09/2022","AQS","370130151","1","3.1","ppb","4","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/10/2022","AQS","370130151","1","-0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/11/2022","AQS","370130151","1","-0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/12/2022","AQS","370130151","1","0.1","ppb","0","Bayview Ferry","18","75.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/13/2022","AQS","370130151","1","4.6","ppb","6","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/14/2022","AQS","370130151","1","0.7","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/15/2022","AQS","370130151","1","13.7","ppb","19","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/16/2022","AQS","370130151","1","-0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/17/2022","AQS","370130151","1","1","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/18/2022","AQS","370130151","1","0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/19/2022","AQS","370130151","1","2.8","ppb","3","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/20/2022","AQS","370130151","1","5.3","ppb","7","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/21/2022","AQS","370130151","1","7.6","ppb","10","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/22/2022","AQS","370130151","1","1.3","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/23/2022","AQS","370130151","1","-0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/24/2022","AQS","370130151","1","7.1","ppb","10","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/25/2022","AQS","370130151","1","3.2","ppb","4","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/26/2022","AQS","370130151","1","-0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/27/2022","AQS","370130151","1","0","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/28/2022","AQS","370130151","1","0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/29/2022","AQS","370130151","1","0.3","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/30/2022","AQS","370130151","1","0.1","ppb","0","Bayview Ferry","22","92.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"03/31/2022","AQS","370130151","1","6.3","ppb","9","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/01/2022","AQS","370130151","1","1.3","ppb","1","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
"04/02/2022","AQS","370130151","1","-0.1","ppb","0","Bayview Ferry","23","96.0000","42401","Sulfur dioxide","47820","Washington, NC","37","North Carolina","013","Beaufort","35.428","-76.7399"
